profile_id,order,meter,easting_x,northing_y,crs
Profile 1,1,0,465879,5754916,EPSG:32633
Profile 1,2,142,466010,5754856,EPSG:32633
Profile 2,1,0,465900,5754928,EPSG:32633
Profile 2,2,142,466027,5754865,EPSG:32633
Profile 3,1,0,465889,5754951,EPSG:32633
Profile 3,2,150,466023,5754882,EPSG:32633
Profile 4,1,0,465916,5754963,EPSG:32633
Profile 4,2,146,466040,5754901,EPSG:32633
