x,HL,VL
0,4.0,3.8
2,4.0,8.6
4,4.0,4.2
6,4.0,4.4
8,4.0,4.8
10,4.0,4.8
12,5.0,5.2
14,6.0,5.4
16,6.0,6.2
18,7.0,6.8
20,7.0,7.1
22,7.0,7.0
24,7.0,8.2
26,7.0,7.6
28,7.0,9.0
30,7.2,9.4
32,7.5,10.0
34,8.0,10.0
36,8.0,10.0
38,8.0,10.5
40,8.2,10.5
42,8.4,11.0
44,8.4,11.0
46,8.4,11.0
48,8.6,11.0
50,8.8,11.0
52,9.0,11.0
54,9.4,11.0
56,9.0,11.0
58,9.2,11.0
60,9.2,10.0
62,9.0,10.0
64,8.8,9.8
66,8.4,10.0
68,8.2,9.8
70,8.0,9.6
72,7.4,9.2
74,7.8,9.2
76,7.2,7.8
78,6.8,8.2
80,6.8,7.6
82,7.0,7.2
84,6.8,7.6
86,7.2,7.4
88,7.2,7.0
90,7.0,7.0
92,7.0,6.8
94,6.8,6.8
96,6.2,6.6
98,7.0,6.8
100,7.0,6.6
102,9.8,7.2
104,7.0,7.8
106,6.8,8.2
108,6.9,8.2
110,6.8,8.8
112,7.0,8.2
114,7.0,9.2
116,7.2,9.6
118,6.8,10.0
120,7.2,10.0
122,7.6,11.0
124,7.0,10.0
126,8.0,11.0
128,8.0,11.0
130,7.6,11.0
132,8.0,11.0
134,8.2,10.0
136,8.2,10.0
138,8.8,10.0
140,8.6,10.0
142,8.8,10.0
144,8.8,9.8
146,8.8,9.6
148,8.8,9.8
150,9.0,10.0
152,8.6,10.0
154,8.2,10.0
156,8.0,10.0
158,7.4,11.0
160,8.0,12.0
162,7.0,12.0
164,7.0,12.0
166,7.0,12.0
168,6.8,10.0
170,6.2,10.0
172,6.8,9.6
174,6.0,8.6
176,6.8,9.4
178,6.4,9.4
180,6.4,9.2
182,6.8,8.8
184,6.0,9.0
186,6.0,8.8
188,6.5,8.8
190,6.4,9.0
192,6.4,9.0
194,6.2,9.0
196,6.2,9.2
198,6.0,9.4
200,6.0,9.4
202,6.0,9.4
204,6.8,9.8
206,6.8,9.8
208,7.0,9.5
210,7.6,9.8
212,8.0,10.0
214,8.0,9.8
216,7.8,9.2
218,6.2,8.5
220,4.4,8.0
222,3.8,7.6
224,4.8,7.4
226,6.0,7.4
228,5.8,6.2
230,5.8,5.4
232,5.8,5.4
