x,HL,VL
0,5.8,3.8
5,6.2,4.2
10,5.7,4.6
15,7.0,5.0
20,7.7,5.9
25,7.2,7.0
30,7.8,8.4
35,9.0,9.2
40,9.9,9.4
45,10.0,10.0
50,10.0,10.0
55,10.0,10.0
60,10.0,10.0
65,10.0,10.0
70,10.1,10.0
75,10.0,10.1
80,10.0,10.0
85,10.0,10.1
90,10.0,10.0
95,10.0,10.1
100,10.0,10.1
105,10.0,10.0
110,10.0,10.0
115,10.1,10.0
120,10.0,10.0
125,10.1,10.0
130,9.8,10.0
135,9.8,9.0
140,8.5,8.5
145,8.5,7.5
150,7.0,7.1
155,7.0,6.4
160,8.0,6.3
165,8.0,6.2
170,7.7,6.1
175,8.0,6.0
180,8.0,5.8
185,8.0,5.4
190,7.5,5.5
195,7.0,4.0
200,6.0,4.4
205,6.8,4.5
210,7.0,4.6
