x,HL,VL
0,4.0,3.8
2,4.2,4.0
4,4.2,3.9
6,4.9,4.3
8,5.1,4.4
10,5.6,4.8
12,6.0,5.2
14,6.4,5.7
16,6.8,6.2
18,6.9,6.9
20,6.2,7.0
22,6.2,8.0
24,6.8,8.2
26,6.8,9.0
28,7.8,9.4
30,8.0,9.8
32,8.2,11.0
34,8.4,11.0
36,8.2,10.2
38,8.4,10.1
40,8.4,10.0
42,8.6,10.0
44,8.6,10.3
46,8.8,10.1
48,9.0,10.1
50,9.0,10.0
52,9.0,10.4
54,8.8,10.2
56,9.0,10.1
58,9.0,10.8
60,8.8,10.0
62,9.1,10.0
64,9.0,10.3
66,8.8,10.2
68,8.4,10.1
70,8.1,10.1
72,7.6,10.2
74,7.9,10.0
76,8.5,9.9
78,7.8,9.8
80,7.5,9.4
82,7.4,9.5
84,7.2,9.3
86,6.9,9.0
88,6.9,9.0
90,6.8,9.0
92,6.4,8.6
94,6.4,8.8
96,6.3,9.0
98,6.2,8.6
100,6.2,9.1
102,6.4,8.8
104,6.2,8.9
106,6.2,8.8
108,6.4,9.3
110,6.2,9.6
112,6.4,9.5
114,6.8,9.6
116,6.8,9.7
118,6.6,9.8
120,7.2,9.8
122,7.2,9.9
124,7.2,9.7
126,7.2,10.0
128,7.2,9.8
130,7.4,9.8
132,7.2,10.0
134,7.2,10.1
136,7.1,10.1
138,6.8,10.2
140,7.0,10.0
142,7.8,10.1
144,7.8,10.2
146,7.8,10.2
148,7.8,10.1
150,7.4,10.5
152,7.8,10.6
154,8.0,10.7
156,7.6,10.3
158,8.2,10.3
160,7.6,10.5
162,7.6,10.1
164,7.8,10.5
166,8.2,10.5
168,7.3,10.6
170,7.4,10.6
172,6.8,10.3
174,6.5,10.2
176,6.4,10.0
178,6.0,9.8
180,6.6,9.9
182,6.6,9.9
184,6.4,9.3
186,5.8,8.6
188,5.8,8.4
190,5.5,8.1
192,5.8,8.4
194,6.4,8.2
196,6.1,8.0
198,6.0,8.0
200,6.3,7.6
202,6.5,7.5
204,6.2,7.9
206,6.2,8.0
208,6.0,8.1
210,9.0,7.9
212,5.8,7.5
214,5.7,7.7
216,5.6,7.4
218,5.0,8.8
220,5.3,6.1
222,5.2,6.0
224,5.8,5.5
226,5.5,5.1
228,5.3,4.8
230,5.6,4.5
