x,HL,VL
0,4.2,4.2
2,4.0,4.2
4,4.0,4.4
6,4.0,4.4
8,4.0,4.4
10,4.0,4.8
12,5.0,4.8
14,6.0,5.2
16,5.7,5.6
18,6.0,5.8
20,6.0,6.4
22,6.0,6.8
24,6.0,7.2
26,6.0,7.6
28,6.5,8.2
30,7.0,8.4
32,7.0,8.8
34,8.0,9.2
36,7.5,9.3
38,8.0,9.6
40,7.8,9.6
42,8.0,9.8
44,8.5,10.0
46,9.0,10.0
48,9.0,10.2
50,9.0,10.5
52,9.0,10.5
54,9.0,10.5
56,9.0,10.2
58,9.0,10.5
60,9.8,10.8
62,9.0,10.5
64,9.5,10.2
66,9.0,10.0
68,9.5,10.5
70,9.0,10.8
72,9.0,10.0
74,8.5,10.8
76,9.0,10.0
78,9.0,10.2
80,8.5,10.5
82,9.0,10.5
84,8.8,10.2
86,9.0,10.0
88,8.5,10.0
90,8.8,11.0
92,8.8,10.5
94,9.0,10.5
96,8.8,10.0
98,9.0,10.0
100,9.0,10.0
102,9.0,10.2
104,9.0,10.2
106,9.2,10.0
108,9.0,10.0
110,9.2,10.0
112,9.2,10.0
114,9.2,10.2
116,9.0,10.2
118,9.0,10.2
120,9.0,10.5
122,9.4,10.5
124,9.4,10.5
126,10.0,11.0
128,9.8,10.5
130,9.0,10.8
132,9.0,10.5
134,9.0,10.5
136,8.8,10.0
138,8.5,10.0
140,8.3,10.0
142,8.0,10.0
144,8.0,9.2
146,7.5,9.0
148,7.0,9.0
150,7.0,8.8
152,7.0,8.5
154,6.5,7.8
156,6.2,8.0
158,6.2,7.5
160,7.0,7.8
162,6.2,7.2
164,6.5,7.0
166,6.5,7.0
168,6.5,7.0
170,6.5,7.0
172,6.5,7.5
174,6.5,7.5
176,6.2,7.5
178,6.0,7.5
180,6.8,7.0
182,6.8,7.0
184,6.8,8.5
186,7.0,8.8
188,7.2,8.8
190,7.2,9.0
192,7.5,9.8
194,7.0,10.2
196,6.5,10.5
198,6.0,10.5
200,6.0,11.0
202,6.2,9.0
204,7.0,8.8
206,8.0,8.0
208,8.5,7.0
210,8.8,6.2
212,8.0,5.8
214,7.5,5.0
216,7.0,5.0
218,6.5,4.5
220,6.0,4.5
222,5.5,4.2
