x,HL,VL
0,4.4,4.9
2,4.5,4.8
4,4.9,5.0
6,5.2,5.2
8,5.5,5.4
10,6.0,5.8
12,6.4,6.0
14,7.2,6.8
16,7.2,7.6
18,6.5,8.0
20,5.9,8.3
22,5.3,8.8
24,4.7,9.4
26,5.2,10.0
28,5.8,10.5
30,5.6,10.0
32,6.0,9.5
34,5.9,10.0
36,6.2,9.5
38,6.0,9.0
40,6.0,9.0
42,5.8,9.5
44,5.8,9.0
46,5.4,9.0
48,5.8,9.0
50,6.1,8.8
52,5.8,8.8
54,5.8,8.0
56,5.2,8.0
58,5.5,8.0
60,5.2,8.0
62,5.1,7.8
64,4.7,7.8
66,4.4,7.5
68,4.4,7.5
70,4.4,7.0
72,4.9,7.0
74,0.3,7.0
76,5.8,7.0
78,6.0,7.0
80,5.4,6.8
82,5.3,7.0
84,5.3,7.2
86,5.0,7.3
88,4.8,7.6
90,4.7,7.8
92,4.8,8.0
94,5.0,8.2
96,5.2,8.3
98,5.4,8.4
100,5.5,8.4
102,5.4,8.4
104,5.6,8.6
106,5.1,8.6
108,5.8,8.8
110,5.8,836.0
112,6.0,8.4
114,6.0,8.4
116,6.2,8.2
118,6.2,8.2
120,5.8,8.0
122,5.7,8.0
124,5.6,8.0
126,5.2,8.0
128,5.0,8.0
130,4.6,7.6
132,4.2,7.4
134,4.0,7.2
136,4.2,6.8
138,4.4,6.2
140,4.6,6.0
142,4.8,5.8
144,4.9,5.4
146,4.8,5.2
148,4.8,5.2
150,4.6,5.0
152,4.6,5.0
154,4.4,5.0
156,4.2,5.0
158,4.0,4.8
160,4.2,5.0
162,4.2,5.2
164,4.2,5.0
166,4.0,5.0
168,4.0,5.0
170,4.0,5.4
172,4.0,5.4
174,3.8,5.6
176,3.8,5.4
178,3.8,5.4
180,3.8,5.3
182,4.0,5.0
184,3.8,4.6
186,3.8,4.4
188,3.6,4.4
190,3.6,4.2
192,3.6,4.2
194,3.6,3.8
196,3.2,3.6
198,3.2,3.4
200,3.2,3.4
202,3.0,2.8
