x,HL,VL
0,3.9,3.8
2,4.0,4.0
4,4.0,4.0
6,4.1,4.3
8,4.4,4.6
10,5.6,5.0
12,5.4,5.0
14,6.0,5.5
16,7.0,6.0
18,9.0,6.4
20,8.5,7.2
22,9.2,8.2
24,9.5,9.2
26,4.8,9.4
28,1.3,8.6
30,0.4,8.0
32,0.7,8.0
34,3.2,8.2
36,6.5,7.8
38,3.5,7.4
40,8.0,6.4
42,7.0,6.0
44,6.4,6.0
46,5.8,5.6
48,5.0,5.4
50,4.7,5.0
52,4.4,5.4
54,4.6,4.6
56,4.4,4.4
58,4.4,4.4
60,4.2,4.4
62,4.2,4.2
64,4.0,4.3
66,4.2,4.3
68,4.2,4.8
70,4.6,4.6
72,4.6,5.0
74,4.6,5.1
76,4.7,5.9
78,3.8,5.9
80,3.0,6.0
82,2.8,6.2
84,2.8,6.9
86,3.0,7.0
88,3.4,7.8
90,4.0,7.8
92,4.2,7.2
94,4.0,7.8
96,3.4,7.2
98,3.6,8.1
100,4.2,6.2
102,3.4,6.2
104,4.2,6.1
106,4.0,5.9
108,4.8,5.7
110,4.8,5.1
112,4.8,5.1
114,4.8,5.0
116,4.8,5.3
118,4.0,4.9
120,3.6,4.9
122,3.6,4.3
124,3.6,4.8
126,3.2,4.2
128,3.0,4.1
130,3.0,3.8
132,3.0,3.2
134,3.2,3.4
136,3.0,3.4
138,3.0,3.6
140,2.8,3.8
142,2.6,3.6
144,2.4,3.5
146,2.4,3.4
148,2.2,3.6
150,2.2,3.3
152,2.2,2.8
154,2.0,2.8
