x,HL,VL
0,5.0,4.7
2,5.0,5.2
4,5.0,5.4
6,5.2,5.6
8,5.9,6.0
10,6.7,6.6
12,6.8,7.2
14,6.2,7.4
16,6.0,7.6
18,6.2,7.6
20,5.6,8.4
22,6.0,8.6
24,6.0,9.2
26,6.0,9.4
28,5.4,9.4
30,5.4,9.4
32,5.4,9.2
34,5.4,9.0
36,5.6,8.6
38,5.2,8.2
40,5.4,8.2
42,5.0,7.6
44,4.8,7.6
46,4.4,8.0
48,4.2,7.8
50,4.2,7.8
52,4.0,7.0
54,4.2,7.0
56,4.4,6.8
58,4.2,6.8
60,4.8,6.8
62,5.0,6.4
64,5.2,6.4
66,5.2,6.0
68,5.2,5.9
70,4.8,5.9
72,4.8,6.0
74,4.4,6.0
76,4.6,6.2
78,4.6,6.4
80,5.2,6.4
82,4.8,6.5
84,5.0,7.0
86,4.8,7.4
88,5.4,7.8
90,5.0,7.6
92,5.2,7.6
94,5.2,7.7
96,5.4,7.9
98,5.4,7.8
100,5.4,8.0
102,5.4,7.9
104,5.2,7.8
106,5.0,7.8
108,5.2,7.7
110,4.8,7.6
112,4.6,7.5
114,5.0,7.4
116,4.6,7.2
118,4.8,7.0
120,4.8,6.9
122,5.2,7.4
124,4.8,6.0
126,4.6,5.9
128,4.2,5.5
130,4.6,5.2
132,4.0,4.7
134,3.8,4.6
136,3.8,4.3
138,3.6,4.0
140,3.4,3.9
142,3.4,3.7
144,3.0,3.6
146,3.2,2.8
148,2.8,3.1
150,2.8,3.2
